Año;Vuelta;Distrito electoral;Organización Política;%_votos_validos;Color
1980;Primera;AMAZONAS;ACCIÓN POPULAR;44.34%;#000000
1980;Primera;ANCASH;ACCIÓN POPULAR;39.19%;#000000
1980;Primera;APURIMAC;ACCIÓN POPULAR;64.22%;#000000
1980;Primera;AREQUIPA;ACCIÓN POPULAR;59.50%;#000000
1980;Primera;AYACUCHO;ACCIÓN POPULAR;56.83%;#000000
1980;Primera;CAJAMARCA;APRA;53.04%;#f80000
1980;Primera;CUSCO;ACCIÓN POPULAR;66.85%;#000000
1980;Primera;HUANCAVELICA;ACCIÓN POPULAR;52.98%;#000000
1980;Primera;HUANUCO;ACCIÓN POPULAR;50.47%;#000000
1980;Primera;ICA;ACCIÓN POPULAR;49.76%;#000000
1980;Primera;JUNIN;ACCIÓN POPULAR;57.65%;#000000
1980;Primera;LA LIBERTAD;APRA;67.88%;#f80000
1980;Primera;LAMBAYEQUE;APRA;45.19%;#f80000
1980;Primera;LIMA;ACCIÓN POPULAR;47.20%;#000000
1980;Primera;LORETO;ACCIÓN POPULAR;63.65%;#000000
1980;Primera;MADRE DE DIOS;ACCIÓN POPULAR;60.39%;#000000
1980;Primera;MOQUEGUA;ACCIÓN POPULAR;43.77%;#000000
1980;Primera;PASCO;ACCIÓN POPULAR;59.55%;#000000
1980;Primera;PIURA;ACCIÓN POPULAR;37.81%;#000000
1980;Primera;PUNO;FRENTE NACIONAL DE TRABAJADORES Y CAMPESINOS;28.59%;#fbc02d
1980;Primera;SAN MARTIN;ACCIÓN POPULAR;50.74%;#000000
1980;Primera;TACNA;ACCIÓN POPULAR;47.96%;#000000
1980;Primera;TUMBES;ACCIÓN POPULAR;52.41%;#000000
1980;Primera;CALLAO;ACCIÓN POPULAR;38.83%;#000000
1980;Primera;EXTRANJERO;ACCIÓN POPULAR;40.63%;#000000
1985;Primera;AMAZONAS;APRA;56.34%;#f80000
1985;Primera;ANCASH;APRA;63.98%;#f80000
1985;Primera;APURIMAC;APRA;50.20%;#f80000
1985;Primera;AREQUIPA;IZQUIERDA UNIDA;38.49%;#7a0101
1985;Primera;AYACUCHO;APRA;49.56%;#f80000
1985;Primera;CAJAMARCA;APRA;61.80%;#f80000
1985;Primera;CUSCO;APRA;44.07%;#f80000
1985;Primera;HUANCAVELICA;IZQUIERDA UNIDA;43.14%;#7a0101
1985;Primera;HUANUCO;APRA;60.06%;#f80000
1985;Primera;ICA;APRA;55.65%;#f80000
1985;Primera;JUNIN;APRA;43.41%;#f80000
1985;Primera;LA LIBERTAD;APRA;77.77%;#f80000
1985;Primera;LAMBAYEQUE;APRA;64.30%;#f80000
1985;Primera;LIMA;APRA;51.22%;#f80000
1985;Primera;LORETO;APRA;48.09%;#f80000
1985;Primera;MADRE DE DIOS;APRA;45.83%;#f80000
1985;Primera;MOQUEGUA;APRA;46.40%;#f80000
1985;Primera;PASCO;APRA;52.80%;#f80000
1985;Primera;PIURA;APRA;55.87%;#f80000
1985;Primera;PUNO;APRA;40.53%;#f80000
1985;Primera;SAN MARTIN;APRA;56.28%;#f80000
1985;Primera;TACNA;IZQUIERDA UNIDA;32.99%;#7a0101
1985;Primera;TUMBES;APRA;49.80%;#f80000
