Año;Puesto;Vuelta;Organización Política;Candidato;%_votos_validos;Color
1980;PRIMERO;PRIMERA;ACCIÓN POPULAR;Fernando Belaúnde Terry;45.37%;#000000
1980;SEGUNDO;PRIMERA;APRA;Armando Villanueva;27.40%;#E53935
1980;TERCERO;PRIMERA;PPC;Luis Bedoya Reyes;9.57%;
1980;CUARTO;PRIMERA;PRT;Hugo Blanco;3.90%;
1985;PRIMERO;PRIMERA;APRA;Alan García;53.11%;#E53935
1985;SEGUNDO;PRIMERA;IZQUIERDA UNIDA;Alfonso Barrantes;24.69%;#B71C1C
1985;TERCERO;PRIMERA;CONVERGENCIA DEMOCRATICA;Luis Bedoya Reyes;11.89%;
1985;CUARTO;PRIMERA;ACCIÓN POPULAR;Javier Alva Orlandini;7.26%;
1990;PRIMERO;PRIMERA;FREDEMO;Mario Vargas Llosa;32.62%;#0047ab
1990;SEGUNDO;PRIMERA;CAMBIO 90;Alberto Fujimori;29.09%;#ff8c00
1990;TERCERO;PRIMERA;APRA;Luis Alva Castro;22.64%;#E53935
1990;CUARTO;PRIMERA;IZQUIERDA UNIDA;Henry Pease;8.24%;#B71C1C
1990;PRIMERO;SEGUNDA;CAMBIO 90;Alberto Fujimori;62.50%;#ff8c00
1990;SEGUNDO;SEGUNDA;FREDEMO;Mario Vargas Llosa;37.50%;#0047ab
1995;PRIMERO;PRIMERA;CAMBIO 90;Alberto Fujimori;64.42%;#ff8c00
1995;SEGUNDO;PRIMERA;UNION POR EL PERÚ;Javier Pérez de Cuéllar;21.81%;#B71C1C
1995;TERCERO;PRIMERA;APRA;Mercedes Cabanillas;4.11%;
1995;CUARTO;PRIMERA;CODE - PAÍS POSIBLE;Alejandro Toledo;3.24%;
2000;PRIMERO;PRIMERA;PERÚ 2000;Alberto Fujimori;49.88%;#ff8c00
2000;SEGUNDO;PRIMERA;PERÚ POSIBLE;Alejandro Toledo;40.24%;#006600
2000;TERCERO;PRIMERA;SOMOS PERÚ;Alberto Andrade;3.01%;
2000;CUARTO;PRIMERA;AVANCEMOS;Federico Salas-Guevara;2.23%;
2000;PRIMERO;SEGUNDA;PERÚ 2000;Alberto Fujimori;74.33%;#ff8c00
2000;SEGUNDO;SEGUNDA;PERÚ POSIBLE;Alejandro Toledo;25.67%;#006600
2001;PRIMERO;PRIMERA;PERÚ POSIBLE;Alejandro Toledo;36.52%;#006600
2001;SEGUNDO;PRIMERA;APRA;Alan García;25.78%;#E53935
2001;TERCERO;PRIMERA;UNIDAD NACIONAL;Lourdes Flores;24.30%;#0047ab
2001;CUARTO;PRIMERA;FRENTE INDEPENDIENTE MORALIZADOR;Fernando Olivera;9.85%;
2001;PRIMERO;SEGUNDA;PERÚ POSIBLE;Alejandro Toledo;53.08%;#006600
2001;SEGUNDO;SEGUNDA;APRA;Alan García;46.92%;#E53935
2006;PRIMERO;PRIMERA;UNION POR EL PERÚ;Ollanta Humala;30.62%;#B71C1C
2006;SEGUNDO;PRIMERA;APRA;Alan García;24.32%;#E53935
2006;TERCERO;PRIMERA;UNIDAD NACIONAL;Lourdes Flores;23.81%;#0047ab
2006;CUARTO;PRIMERA;ALIANZA POR EL FUTURO;Martha Chávez;7.43%;
2006;PRIMERO;SEGUNDA;APRA;Alan García;52.63%;#E53935
2006;SEGUNDO;SEGUNDA;UNION POR EL PERÚ;Ollanta Humala;47.38%;#B71C1C
2011;PRIMERO;PRIMERA;GANA PERÚ;Ollanta Humala;31.70%;#B71C1C
2011;SEGUNDO;PRIMERA;FUERZA 2011;Keiko Fujimori;23.55%;#ff8c00
2011;TERCERO;PRIMERA;ALIANZA POR EL GRAN CAMBIO;Pedro Pablo Kuczynski;18.51%;#e91e63
2011;CUARTO;PRIMERA;PERÚ POSIBLE;Alejandro Toledo;15.63%;#006600
2011;PRIMERO;SEGUNDA;GANA PERÚ;Ollanta Humala;51.45%;#B71C1C
2011;SEGUNDO;SEGUNDA;FUERZA 2011;Keiko Fujimori;48.55%;#ff8c00
2016;PRIMERO;PRIMERA;FUERZA POPULAR;Keiko Fujimori;39.61%;#ff8c00
2016;SEGUNDO;PRIMERA;PERUANOS POR EL KAMBIO;Pedro Pablo Kuczynski;20.91%;#e91e63
2016;TERCERO;PRIMERA;FRENTE AMPLIO;Verónika Mendoza;18.62%;#4caf50
2016;CUARTO;PRIMERA;ACCIÓN POPULAR;Alfredo Barnechea;6.93%;
2016;PRIMERO;SEGUNDA;PERUANOS POR EL KAMBIO;Pedro Pablo Kuczynski;50.12%;#e91e63
2016;SEGUNDO;SEGUNDA;FUERZA POPULAR;Keiko Fujimori;49.88%;#ff8c00
2021;PRIMERO;PRIMERA;PERÚ LIBRE;Pedro Castillo;18.92%;#B71C1C
2021;SEGUNDO;PRIMERA;FUERZA POPULAR;Keiko Fujimori;13.41%;#ff8c00
2021;TERCERO;PRIMERA;RENOVACIÓN POPULAR;Rafael López Aliaga;11.75%;#00bfff
2021;CUARTO;PRIMERA;AVANZA PAÍS;Hernando de Soto;11.63%;#0047ab
2021;PRIMERO;SEGUNDA;PERÚ LIBRE;Pedro Castillo;50.13%;#B71C1C
2021;SEGUNDO;SEGUNDA;FUERZA POPULAR;Keiko Fujimori;49.87%;#ff8c00
